tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
14805;-0.90;15.5;-3850;0.91;-0.52;10.06;-15.00;-1.88;-11.76;-0.10;185.0;0.0
14825;-1.10;15.3;0;-0.12;-0.15;10.15;31.90;-3.37;8.31;-0.26;188.3;0.1
14845;-1.30;15.4;-3919;-0.02;-0.29;9.94;7.97;2.58;0.86;-0.42;192.0;0.0
14866;-1.60;15.5;0;0.16;-0.15;10.05;6.65;-2.11;4.88;-0.57;195.5;0.0
14886;-1.70;15.7;-3638;0.03;-0.37;10.40;16.36;2.73;3.12;-0.71;199.3;0.0
14907;-2.00;15.7;0;0.48;-0.65;10.17;-8.39;-8.80;-2.25;-0.86;203.0;0.0
14927;-2.20;15.7;-3675;0.48;-0.34;10.55;-27.45;-6.76;-10.64;-1.02;206.7;0.0
14948;-2.30;16.0;0;0.17;-0.43;10.58;-39.64;-10.82;-5.31;-1.17;210.2;0.0
14968;-2.50;16.0;-3688;-0.08;-0.06;10.20;70.45;2.86;10.99;-1.33;214.3;0.1
14989;-2.70;16.2;0;-0.15;-0.13;10.11;52.31;-0.48;3.93;-1.46;218.0;0.1
15009;-2.90;15.9;-3681;0.01;-0.46;10.47;-13.73;-7.98;-3.08;-1.62;221.9;0.0
15030;-3.10;16.1;0;0.24;-0.21;10.06;-10.68;-1.10;-4.91;-1.76;225.9;0.1
15050;-3.20;16.4;-3656;-0.10;-0.22;9.90;35.74;3.12;0.40;-1.90;229.9;0.1
15071;-3.40;16.2;0;-0.13;-0.61;10.02;-78.52;6.09;-8.49;-2.04;233.9;0.1
15091;-3.60;16.5;-3563;0.24;-0.70;10.52;39.39;1.54;-4.37;-2.19;237.9;0.1
15112;-3.70;16.6;0;0.21;-0.22;10.61;-4.62;-1.65;-7.00;-2.31;241.7;0.1
15132;-3.90;16.4;-3444;-0.22;-0.08;10.08;3.31;8.80;4.21;-2.43;245.6;0.1
15153;-4.00;16.6;0;0.06;-0.15;10.01;8.93;5.12;-4.97;-2.56;249.6;0.1
15173;-4.10;16.8;-3144;-0.02;-0.14;10.39;14.23;-1.42;7.46;-2.67;253.6;0.2
15193;-4.30;16.9;0;0.70;-0.05;10.50;1.74;-2.36;17.18;-2.78;257.6;0.2
15214;-4.40;16.8;-2975;0.18;-0.19;10.17;-24.99;-3.85;-0.87;-2.90;261.6;0.2
15234;-4.50;17.0;0;-0.62;-0.52;9.95;-29.39;0.24;-7.54;-3.02;265.6;0.2
15254;-4.60;16.8;-3019;-0.28;-0.14;10.30;-16.43;-6.93;-2.78;-3.13;269.8;0.2
15275;-4.70;16.9;0;0.11;-0.55;10.38;-18.15;-3.06;-6.84;-3.24;273.9;0.2
15295;-4.80;17.2;-2919;-0.73;-0.16;10.17;-7.13;0.14;-1.65;-3.34;278.0;0.2
15316;-4.90;17.2;0;-0.26;-0.36;9.92;-20.11;-6.88;-14.48;-3.42;282.3;0.2
15336;-5.00;17.4;-2688;-0.09;-0.33;10.49;-13.06;0.73;-4.95;-3.51;286.5;0.2
15357;-5.00;17.4;0;-0.36;-0.38;9.98;-1.95;0.73;6.41;-3.62;290.3;0.2
15377;-5.10;17.2;-2638;-0.08;-0.16;10.09;37.93;3.05;6.77;-3.70;294.7;0.2
15398;-5.10;17.4;0;0.37;-0.19;10.38;-46.48;1.33;-5.71;-3.78;298.8;0.2
15418;-5.20;17.4;-2438;-0.32;-0.40;10.55;52.48;-2.78;13.12;-3.85;303.2;0.2
15439;-5.20;17.8;0;0.14;-0.38;10.10;40.77;3.67;9.00;-3.92;307.1;0.2
15459;-5.20;17.9;-2375;0.18;-0.70;10.52;38.91;-6.39;7.31;-4.01;311.6;0.2
15480;-5.20;17.8;0;-0.05;-0.11;10.19;43.49;4.63;1.57;-4.08;315.5;0.2
15500;-5.20;17.9;-2206;-0.03;-0.08;10.26;-1.87;-9.17;3.63;-4.14;319.8;0.2
15521;-5.20;18.1;0;0.19;-0.53;10.09;62.84;-5.90;3.99;-4.19;324.2;0.2
15541;-5.20;18.2;-2194;-0.14;-0.58;10.19;17.63;3.99;1.37;-4.24;328.4;0.2
15562;-5.20;18.0;0;0.08;-0.39;10.59;15.74;-1.23;5.28;-4.27;332.6;0.3
15582;-5.20;18.1;-2013;-0.08;-0.56;10.47;2.33;-7.69;4.88;-4.31;337.0;0.3
15602;-5.20;18.2;0;0.02;-0.65;10.50;6.45;0.45;1.82;-4.34;341.5;0.3
15622;-5.10;18.4;-1956;-0.07;-0.57;10.43;-21.39;2.45;-7.40;-4.37;346.1;0.3
15643;-5.10;18.2;0;0.30;-0.54;10.11;-16.29;3.61;2.42;-4.39;350.5;0.3
15663;-5.00;18.3;-1856;0.17;-0.70;10.52;15.54;4.62;3.88;-4.42;355.6;0.3
15684;-4.90;18.6;0;0.36;-0.56;10.13;-23.42;-3.12;-2.40;-4.43;360.0;0.3
15704;-4.90;18.4;-1769;-0.06;-0.14;10.26;-24.22;8.67;-5.55;-4.43;364.7;0.4
15725;-4.80;18.7;0;0.20;-0.51;10.03;-7.99;-0.68;0.77;-4.46;369.6;0.4
15745;-4.70;18.8;-1675;-0.00;-0.10;10.13;7.08;6.18;4.15;-4.46;374.8;0.4
15766;-4.60;18.8;0;-0.19;-0.13;10.08;-2.49;-1.61;-0.69;-4.45;379.6;0.3
15786;-4.60;19.0;-1544;0.36;-0.12;10.59;-2.02;-9.45;-1.46;-4.45;384.7;0.3
15807;-4.50;19.2;0;-0.06;-0.28;10.55;-17.91;-3.49;-4.33;-4.44;389.9;0.4
15827;-4.40;19.6;-1350;-0.06;-0.12;10.49;1.71;1.62;3.10;-4.43;394.9;0.3
15848;-4.20;19.7;0;-0.16;-0.63;10.44;-8.74;-4.89;1.48;-4.41;399.9;0.3
15868;-4.20;19.8;-1181;-0.00;-0.31;10.53;50.19;-6.98;-1.02;-4.40;404.9;0.4
15889;-4.00;24.1;0;-0.20;-0.65;10.24;16.28;0.54;0.05;-4.37;410.1;0.4
15909;-3.90;24.5;-1131;-0.12;-0.51;10.47;-2.52;4.43;-0.15;-4.33;415.4;0.4
15930;-3.80;24.6;0;0.22;-0.54;10.78;9.04;-10.95;-2.29;-4.30;420.4;0.4
15950;-3.70;25.0;-1006;0.13;-0.16;10.38;10.48;1.84;2.40;-4.25;425.9;0.4
15970;-3.50;25.2;0;-0.07;-0.56;10.41;-27.57;-3.86;2.77;-4.21;430.9;0.5
15991;-3.40;25.8;-925;-0.36;-0.45;10.55;32.88;-4.37;5.44;-4.16;436.1;0.5
16011;-3.30;25.9;0;0.57;-0.43;10.01;38.85;-4.54;21.09;-4.11;441.2;0.5
16031;-3.10;26.2;-813;0.36;-0.63;10.17;21.51;2.86;-0.98;-4.05;446.4;0.4
16052;-2.90;26.6;0;0.01;-0.55;10.48;-8.36;-6.82;8.38;-3.98;451.5;0.4
16072;-2.70;27.4;-719;0.07;-0.40;10.54;-12.49;-1.03;-9.44;-3.92;456.7;0.4
16093;-2.60;27.8;0;0.18;-0.72;10.34;-17.78;-2.20;-9.64;-3.84;461.8;0.4
16113;-2.40;28.5;-588;-0.19;-0.44;10.47;-3.39;2.80;2.51;-3.77;466.9;0.4
16134;-2.20;28.9;0;-0.03;-0.12;10.07;28.14;-2.67;3.96;-3.70;471.8;0.4
16154;-2.00;28.9;-469;0.11;-0.15;10.15;9.81;3.67;3.94;-3.61;477.1;0.4
16175;-1.90;29.2;0;-0.24;-0.52;10.39;-18.75;-5.74;-5.77;-3.53;481.9;0.5
16195;-1.70;29.3;-438;0.35;-0.63;10.46;48.10;-6.24;6.23;-3.45;486.9;0.4
16216;-1.50;29.5;0;0.31;-0.12;10.18;17.82;6.06;0.09;-3.36;492.0;0.5
16236;-1.30;29.6;-313;0.30;-0.40;10.59;-27.87;-3.04;-2.62;-3.27;497.3;0.5
16257;-1.10;30.0;0;-0.01;-0.27;10.49;51.02;-2.62;8.11;-3.18;502.4;0.5
16277;-0.90;30.4;-163;0.02;-0.20;10.28;-9.72;3.15;-0.55;-3.07;507.5;0.5
16298;-0.70;31.0;0;0.05;-0.23;10.33;-35.38;-4.04;-7.66;-2.96;512.9;0.5
16318;-0.40;31.4;-94;0.04;-0.35;10.56;-1.19;-4.10;-0.17;-2.86;518.2;0.5
16339;-0.20;31.8;0;0.39;-0.12;10.13;-11.72;-3.92;3.15;-2.75;523.5;0.5
16359;0.00;32.2;-56;-0.08;-0.70;10.23;-1.97;-2.95;0.95;-2.63;528.8;0.5
16379;0.10;32.3;0;0.35;-0.20;10.50;40.84;-3.61;5.47;-2.52;533.9;0.5
16399;0.30;33.4;31;0.16;-0.12;10.19;-15.84;-6.46;-4.20;-2.40;539.2;0.4
16420;0.60;33.5;0;0.55;-0.22;10.44;-0.10;-5.25;-0.27;-2.27;544.6;0.4
16440;0.80;33.7;188;0.12;-0.53;10.49;16.63;-1.74;1.21;-2.15;549.8;0.4
16461;1.00;34.1;0;-0.17;-0.25;10.40;-22.29;-0.79;-5.03;-2.03;555.2;0.4
16481;1.30;34.1;200;-0.05;-0.65;10.08;28.67;-8.20;-2.69;-1.88;560.4;0.5
16502;1.50;34.4;0;0.64;-0.15;10.23;12.62;-6.37;3.15;-1.76;565.6;0.4
16522;1.70;34.4;319;0.13;-0.11;10.30;8.52;-0.01;2.86;-1.62;571.4;0.4
16543;2.00;34.7;0;0.21;-0.36;10.44;37.11;-2.17;0.37;-1.47;576.9;0.4
16563;2.20;35.1;388;0.33;-0.24;10.07;25.86;-7.51;6.53;-1.32;582.7;0.5
16584;2.40;35.3;0;0.31;-0.10;10.22;-20.74;2.31;-1.58;-1.17;588.6;0.5
16604;2.70;35.4;450;0.09;-0.31;10.47;-0.27;-2.36;1.70;-1.02;594.6;0.4
16625;2.90;35.9;0;0.56;-0.55;10.40;-33.81;-1.36;-10.87;-0.86;600.4;0.4
16645;3.10;36.7;494;0.23;-0.16;10.24;-5.80;-1.79;2.29;-0.71;607.1;0.4
16666;3.40;37.5;0;0.11;-0.36;10.46;21.00;0.74;-6.51;-0.56;613.0;0.4
16686;3.60;38.0;619;0.43;-0.50;10.41;-56.90;1.33;-10.61;-0.39;619.0;0.3
16707;3.90;38.9;0;0.29;-0.16;9.91;-0.85;-1.26;-0.79;-0.22;624.9;0.4
16727;4.10;39.8;713;-0.18;-0.24;10.33;7.87;1.82;8.75;-0.04;630.7;0.4
16747;4.30;40.7;0;0.08;-0.58;10.29;-11.87;3.81;-6.76;0.12;636.2;0.4
16768;4.60;42.0;625;0.63;-0.63;10.52;14.12;-1.60;-5.03;0.29;641.8;0.4
16788;4.80;43.1;0;-0.30;-0.32;10.33;14.21;-4.50;-2.73;0.45;647.3;0.4
16808;5.00;44.4;644;0.54;-0.19;10.04;14.52;4.35;2.65;0.64;652.9;0.3
16829;5.30;44.6;0;0.39;-0.64;10.33;41.52;-2.99;2.46;0.80;658.2;0.3
16849;5.50;45.1;738;0.01;-0.13;10.27;-7.42;-0.69;2.03;1.00;664.2;0.3
16870;5.80;45.8;0;0.06;-0.26;10.34;-13.74;-2.67;-2.92;1.16;669.6;0.2
16890;6.00;46.3;806;-0.14;-0.39;10.33;37.69;-2.54;14.10;1.35;675.5;0.2
16911;6.30;47.0;0;0.09;-0.62;10.18;-5.70;2.02;-8.30;1.53;681.4;0.1
16931;6.50;47.3;963;-0.27;-0.38;10.19;7.74;-3.14;1.97;1.70;687.3;0.2
16952;6.70;47.1;0;-0.43;-0.39;10.16;-0.21;-2.24;3.88;1.87;693.2;0.2
16972;6.90;44.9;938;0.12;-0.36;10.28;-3.24;-4.24;2.18;2.03;699.0;0.2
16993;7.10;43.3;0;0.14;-0.08;9.94;-10.58;-4.84;-2.53;2.21;704.7;0.2
17013;7.30;41.9;994;0.18;-0.50;10.29;23.06;-1.75;3.71;2.37;710.5;0.3
17034;7.60;40.7;0;0.23;-0.16;9.95;-21.16;4.96;1.84;2.56;716.2;0.3
17054;7.80;39.6;1050;0.18;-0.27;10.20;-23.99;-1.15;-1.24;2.74;722.1;0.2
17075;8.00;38.6;0;0.21;-0.52;10.22;-7.59;2.83;-6.46;2.90;727.8;0.2
17095;8.20;38.0;1125;0.14;-0.55;10.20;-10.01;0.37;-1.45;3.07;733.5;0.2
17115;8.40;37.3;0;-0.02;-0.37;10.09;-3.87;-0.37;7.36;3.25;739.3;0.2
17136;8.60;37.0;1181;0.21;-0.51;10.24;3.89;1.49;-1.46;3.42;745.0;0.3
17156;8.80;36.8;0;0.31;-0.17;9.90;9.13;-2.68;-0.46;3.60;750.9;0.2
17176;9.00;36.4;1244;0.29;-0.52;10.22;3.74;-3.75;5.63;3.78;756.9;0.2
17197;9.20;35.9;0;-0.20;-0.35;10.14;16.81;3.51;9.89;3.95;762.2;0.2
17217;9.40;35.5;1219;0.04;-0.59;10.13;-34.29;3.39;-4.11;4.14;768.1;0.2
17238;9.60;34.9;0;0.16;-0.37;10.14;61.84;7.15;6.95;4.30;773.6;0.2
17258;9.80;34.3;1213;0.07;-0.13;9.97;4.66;-6.74;-0.76;4.48;780.1;0.2
17279;10.00;34.0;0;-0.14;-0.57;10.13;-2.23;-2.68;-5.33;4.64;786.0;0.3
17299;10.20;34.1;1244;0.27;-0.17;10.06;17.72;-2.93;8.50;4.83;792.8;0.2
17320;10.40;33.7;0;0.04;-0.11;9.87;7.42;2.44;1.83;5.00;799.1;0.2
17340;10.60;33.4;1369;-0.21;-0.24;9.99;8.23;-1.30;2.12;5.18;806.2;0.1
17361;10.80;33.3;0;0.27;-0.41;10.25;-22.00;-3.44;-4.60;5.34;812.9;0.1
17381;11.00;33.1;1388;-0.27;-0.47;10.02;-9.22;-5.09;-2.22;5.53;819.6;0.1
17402;11.20;33.0;0;-0.07;-0.54;9.99;1.47;-4.33;0.60;5.70;826.4;0.1
17422;11.40;33.0;1431;0.14;-0.25;10.09;46.33;-3.13;5.69;5.88;833.1;0.1
17443;11.60;32.8;0;0.17;-0.58;10.16;-34.48;-3.29;-2.20;6.06;839.8;0.1
17463;11.80;32.7;1463;0.29;-0.26;10.19;3.37;-1.72;1.70;6.23;846.6;0.1
17483;12.00;32.9;0;0.08;-0.29;10.08;-26.53;0.30;-10.12;6.41;854.4;0.1
17504;12.20;33.4;1313;-0.40;-0.36;10.00;-5.81;4.56;0.07;6.58;861.8;0.1
17524;12.40;35.3;0;0.15;-0.52;9.91;-16.61;0.15;1.73;6.76;868.0;0.0
17544;12.50;37.0;1213;0.35;-0.09;9.82;-2.20;4.27;-0.30;6.93;874.8;0.0
17565;12.70;38.8;0;-0.07;-0.24;9.61;-23.44;2.47;-9.07;7.11;883.0;0.0
17585;12.90;40.4;1238;0.63;-0.33;10.15;-9.26;-2.87;-7.66;7.27;890.9;0.0
17606;13.10;41.3;0;-0.22;-0.57;9.94;0.94;0.70;3.13;7.43;898.0;0.1
17626;13.30;41.9;1419;-0.18;-0.47;9.97;-10.10;1.93;-1.17;7.58;905.4;0.1
17647;13.40;43.4;0;0.33;-0.38;10.01;-29.90;-0.04;-6.62;7.76;913.1;0.2
17667;13.60;45.1;1475;0.40;-0.32;9.99;21.85;-1.88;-1.17;7.92;921.3;0.2
17688;13.80;45.7;0;-0.13;-0.78;9.75;-27.22;2.39;-20.82;8.11;928.0;0.2
17708;13.90;46.8;1481;0.56;-0.59;9.44;-12.19;9.22;10.11;8.25;933.0;0.2
17729;14.10;47.6;0;0.24;-0.61;9.93;-22.36;-6.13;4.08;8.39;938.1;0.1
17749;14.20;48.4;1563;0.38;-0.72;9.70;-31.74;-1.95;-2.75;8.55;944.4;0.2
17770;14.40;50.2;0;0.70;-0.33;10.05;15.88;8.20;5.94;8.71;951.5;0.2
17790;14.50;50.8;1625;1.00;-0.62;9.95;-9.87;-2.49;-10.50;8.85;957.5;0.2
17811;14.70;51.9;0;0.19;-0.65;9.71;-157.93;-1.37;-30.84;9.02;961.7;0.2
17831;14.80;52.3;1688;-0.90;-0.56;9.82;54.65;-3.82;7.55;9.16;966.0;0.2
17852;15.00;51.5;0;0.88;-0.13;9.76;16.26;-4.56;0.24;9.31;970.0;0.2
17872;15.10;52.4;1813;3.75;-0.16;10.96;-44.62;22.09;35.65;9.46;973.7;0.2
17892;15.30;53.0;0;0.09;-0.37;9.74;-3.99;-0.66;-1.56;9.61;973.9;0.1
17912;15.40;52.5;1813;0.10;-0.34;9.60;22.64;-0.56;2.82;9.75;973.9;0.1
17933;15.60;51.8;0;0.12;-0.42;9.60;7.98;0.71;1.63;9.87;973.9;0.1
17953;15.70;51.6;1813;0.16;-0.44;9.70;-3.00;0.41;-0.21;10.00;973.9;0.1
17974;15.90;51.5;0;0.09;-0.42;9.58;-5.25;-0.95;-0.30;10.13;973.9;0.1
17994;16.00;51.2;1800;0.19;-0.40;9.66;5.19;-0.74;1.04;10.26;973.9;0.1
18015;16.20;50.6;0;0.12;-0.39;9.60;-6.25;-0.91;-1.24;10.39;974.0;0.1
18035;16.30;50.1;1775;0.18;-0.46;9.58;5.40;-0.72;-0.40;10.52;974.0;0.1
18056;16.50;49.8;0;0.07;-0.36;9.56;-7.55;1.01;-1.23;10.65;973.9;0.1
18076;16.70;49.7;1781;0.16;-0.45;9.55;36.13;-2.35;2.97;10.78;973.9;0.1
18097;16.80;49.2;0;0.10;-0.39;9.60;10.13;-0.68;1.54;10.91;973.8;0.1
18117;16.90;48.8;1806;0.08;-0.42;9.55;18.28;-2.17;1.84;11.03;973.9;0.1
18138;17.10;48.3;0;0.18;-0.35;9.55;6.79;-0.48;1.80;11.17;973.9;0.1
18158;17.20;48.1;1800;0.10;-0.40;9.51;-7.50;-0.38;-0.48;11.30;974.0;0.1
18179;17.40;47.9;0;0.07;-0.43;9.53;37.77;1.93;5.31;11.42;973.9;0.1
18199;17.50;47.6;1819;0.10;-0.40;9.62;-13.57;0.18;-2.63;11.54;973.9;0.1
18220;17.60;47.3;0;0.07;-0.48;9.67;-12.99;-0.24;-1.70;11.68;973.9;0.0
18240;17.80;47.1;1838;0.09;-0.40;9.60;4.74;0.05;1.77;11.80;974.0;0.0
18260;17.90;47.0;0;0.10;-0.45;9.58;-5.32;0.34;0.52;11.92;973.9;0.0
18281;18.00;46.8;1838;0.12;-0.41;9.62;-14.45;0.22;-1.25;12.03;973.9;0.0
18301;18.20;46.7;0;0.13;-0.35;9.53;3.18;-0.74;0.17;12.15;973.9;0.0
18321;18.30;46.3;1838;0.13;-0.27;9.51;3.19;0.32;0.39;12.28;974.0;0.0
18342;18.40;46.0;0;0.05;-0.42;9.62;-14.73;3.16;-1.14;12.38;973.9;0.0
18362;18.50;45.9;1819;0.16;-0.42;9.52;31.42;-1.17;4.83;12.50;974.0;0.0
18383;18.70;45.7;0;0.13;-0.46;9.57;-0.72;-1.24;0.89;12.61;974.0;0.0
18403;18.80;45.4;1794;0.10;-0.41;9.55;9.33;-4.10;-0.43;12.72;974.0;0.0
18424;18.90;45.2;0;0.17;-0.38;9.56;42.24;-4.71;6.63;12.82;974.0;0.0
18444;19.00;45.2;1825;0.05;-0.41;9.55;-37.39;1.41;-3.46;12.95;973.9;0.0
18465;19.10;45.2;0;0.11;-0.38;9.57;-26.55;-0.21;-3.96;13.05;974.1;0.0
18485;19.20;45.0;1856;0.10;-0.51;9.63;-76.74;-1.20;-15.40;13.15;974.0;0.0
18506;19.30;44.9;0;0.10;-0.42;9.49;-23.37;-0.08;-3.11;13.21;974.0;0.0
18526;19.40;44.9;1906;0.14;-0.40;9.48;22.74;-3.55;6.35;13.30;974.0;0.0
18547;19.50;44.8;0;0.11;-0.37;9.60;36.97;0.68;5.89;13.40;974.0;0.0
18567;19.50;44.6;1906;0.09;-0.39;9.48;35.94;-0.53;6.73;13.51;974.1;0.0
18588;19.60;44.4;0;0.09;-0.37;9.55;-4.20;-1.01;0.70;13.59;974.0;0.0
18608;19.70;44.4;1944;0.12;-0.37;9.55;9.27;-1.22;1.53;13.69;974.0;0.0
18628;19.80;44.3;0;0.14;-0.41;9.51;7.56;-0.31;1.04;13.77;973.9;0.0
18649;19.90;44.2;1963;0.13;-0.40;9.48;-13.52;0.00;-1.18;13.88;973.9;0.0
18669;20.00;44.2;0;0.14;-0.44;9.51;-20.05;0.68;-1.16;13.97;974.0;0.0
18689;20.10;44.1;1988;0.09;-0.42;9.41;7.66;-0.30;1.46;14.06;974.0;0.0
18710;20.20;44.1;0;0.15;-0.38;9.45;1.47;-0.72;1.31;14.17;974.0;0.1
18730;20.20;44.0;1994;0.12;-0.40;9.57;-18.56;-0.65;-2.06;14.27;974.0;0.0
18751;20.30;44.0;0;0.09;-0.42;9.43;-6.46;1.87;-0.54;14.36;974.0;0.0
18771;20.40;44.0;2019;0.18;-0.37;9.46;21.81;0.69;4.96;14.47;974.0;0.0
18792;20.50;44.0;0;0.07;-0.42;9.47;26.49;-5.52;7.60;14.55;973.9;0.0
18812;20.60;44.0;2006;0.11;-0.50;9.45;4.78;0.25;-4.43;14.65;974.0;0.1
18833;20.70;43.9;0;0.12;-0.32;9.50;-4.91;-0.91;-1.10;14.74;974.0;0.1
18853;20.80;43.9;2013;0.06;-0.44;9.48;8.36;1.60;2.26;14.83;974.0;0.0
18874;20.90;43.8;0;0.06;-0.38;9.52;-6.06;-1.36;-0.63;14.92;974.0;0.0
18894;20.90;43.7;2031;0.10;-0.37;9.47;-2.93;0.00;-0.13;15.02;974.1;0.0
18915;21.00;43.9;0;0.08;-0.36;9.42;-0.56;1.96;-0.48;15.10;974.0;0.0
18935;21.10;43.9;2044;0.10;-0.37;9.46;-9.48;2.33;-1.88;15.21;973.9;0.0
18956;21.20;44.1;0;0.17;-0.40;9.41;2.90;-1.59;0.30;15.30;974.0;0.0
18976;21.30;44.2;2044;0.08;-0.42;9.44;20.78;-1.17;4.14;15.38;974.0;0.0
18997;21.40;44.1;0;0.15;-0.35;9.42;-7.78;0.86;-0.82;15.47;974.0;0.0
19017;21.50;43.8;2044;0.14;-0.38;9.38;9.41;-0.60;2.01;15.56;973.9;0.0
19037;21.50;43.7;0;0.12;-0.46;9.48;-2.77;0.35;0.13;15.65;974.0;0.0
19057;21.60;43.7;2044;0.10;-0.48;9.40;-0.16;0.05;0.47;15.73;974.0;0.0
19078;21.70;43.7;0;0.15;-0.42;9.46;-1.36;3.10;1.83;15.83;974.0;0.0
19098;21.80;43.8;2025;0.09;-0.36;9.49;32.98;0.49;2.43;15.91;974.0;0.0
19119;21.90;43.8;0;0.09;-0.35;9.51;-15.89;-0.40;-0.60;15.99;974.0;0.0
19139;21.90;43.7;2100;0.15;-0.39;9.45;-1.79;0.44;-0.52;16.09;974.0;0.0
19160;22.00;43.7;0;0.13;-0.34;9.40;-1.72;-1.31;0.51;16.17;974.1;0.0
19180;22.10;43.8;2163;0.12;-0.37;9.45;12.51;0.47;2.10;16.26;974.0;0.0
19201;22.20;43.9;0;0.18;-0.41;9.33;-16.36;0.02;-1.30;16.34;974.0;0.0
19221;22.20;43.8;2119;0.13;-0.42;9.32;-35.61;-0.48;-5.72;16.43;974.1;0.0
19242;22.30;43.6;0;0.06;-0.41;9.31;13.50;-0.14;5.14;16.51;974.1;0.0
19262;22.40;43.6;2056;0.10;-0.39;9.43;14.65;-0.24;2.66;16.60;974.1;0.0
19283;22.50;43.7;0;0.08;-0.38;9.54;13.38;0.38;2.38;16.67;974.1;0.0
19303;22.50;43.6;2050;0.09;-0.39;9.41;0.89;0.20;0.92;16.76;974.1;0.0
19324;22.60;43.7;0;0.07;-0.37;9.46;4.72;-1.29;1.47;16.83;974.1;0.0
19344;22.70;43.8;2031;0.10;-0.41;9.43;0.39;-2.40;0.02;16.92;974.1;0.0
19365;22.80;43.8;0;0.08;-0.38;9.44;10.81;-0.96;6.27;16.99;974.1;0.0
19385;22.80;43.8;1988;0.11;-0.47;9.43;5.52;-2.53;4.81;17.07;974.1;0.0
19405;22.90;43.7;0;0.14;-0.40;9.50;-12.29;-1.17;-0.94;17.14;974.1;0.0
19425;23.00;43.8;1969;0.11;-0.34;9.35;-12.48;3.02;-2.08;17.21;974.2;0.0
19446;23.00;43.8;0;0.16;-0.34;9.38;-19.39;-1.54;-1.20;17.28;974.2;0.0
19466;23.10;43.8;1956;0.05;-0.39;9.34;-2.73;0.40;0.58;17.34;974.2;0.0
19487;23.10;43.8;0;0.16;-0.36;9.46;5.87;-0.51;1.09;17.39;974.1;0.0
19507;23.20;43.7;1969;0.06;-0.43;9.40;-27.13;-1.53;-2.51;17.46;974.1;0.0
19528;23.20;44.0;0;0.12;-0.41;9.45;-26.57;0.96;-1.86;17.52;974.1;0.0
19548;23.30;43.9;2013;0.22;-0.43;9.34;3.61;4.44;1.84;17.57;974.1;0.1
19569;23.30;43.9;0;0.18;-0.35;9.34;17.08;-0.90;3.86;17.61;974.1;0.1
19589;23.40;43.8;2056;0.15;-0.39;9.36;13.27;-0.54;1.70;17.68;974.1;0.1
19610;23.40;43.8;0;0.16;-0.38;9.29;8.46;-0.11;2.14;17.73;974.2;0.1
19630;23.40;43.8;2075;0.15;-0.34;9.31;-5.91;0.11;-0.35;17.78;974.2;0.1
19651;23.50;43.8;0;0.12;-0.38;9.34;-10.76;0.38;-1.44;17.84;974.2;0.2
19671;23.50;43.8;2113;0.10;-0.36;9.33;11.12;-0.59;3.53;17.90;974.2;0.2
19692;23.60;43.8;0;0.08;-0.44;9.37;-7.43;-0.22;-0.95;17.95;974.1;0.2
19712;23.60;43.7;2125;0.06;-0.42;9.43;-3.17;0.46;0.17;18.02;974.2;0.1
19733;23.70;43.8;0;0.10;-0.43;9.30;-6.29;-0.72;-1.83;18.10;974.1;0.1
19753;23.70;43.8;2144;0.08;-0.47;9.30;11.60;-2.64;-2.04;18.17;974.1;0.2
19773;23.80;43.8;0;0.14;-0.43;9.36;-20.71;0.29;-1.33;18.24;974.2;0.1
19793;23.90;43.7;2163;0.08;-0.35;9.31;12.56;0.72;3.47;18.31;974.2;0.1
19814;23.90;43.8;0;0.14;-0.41;9.39;-20.84;0.23;-3.95;18.39;974.1;0.0
19834;24.00;43.7;2213;0.12;-0.44;9.37;-34.33;-0.16;-4.76;18.46;974.1;0.0
19855;24.10;43.8;0;0.10;-0.35;9.38;-0.56;-0.45;3.48;18.54;974.1;0.0
19875;24.10;43.7;2231;0.14;-0.43;9.33;-15.35;1.67;-1.55;18.61;974.2;0.0
19896;24.20;43.7;0;0.10;-0.44;9.36;-6.05;0.21;0.17;18.69;974.1;0.0
19916;24.30;43.7;2163;0.11;-0.38;9.33;-18.92;0.64;-2.58;18.76;974.1;0.0
19937;24.40;43.8;0;0.09;-0.36;9.29;-9.58;1.27;-0.14;18.83;974.1;0.0
19957;24.40;43.8;2138;0.11;-0.41;9.29;-10.18;-2.24;-2.91;18.91;974.1;0.0
19978;24.50;43.8;0;0.15;-0.37;9.34;-8.76;1.41;-0.98;18.97;974.1;0.0
19998;24.60;43.8;2125;0.09;-0.42;9.38;-6.68;0.19;-0.38;19.04;974.1;0.0
20019;24.60;43.8;0;0.11;-0.44;9.33;0.03;0.51;-0.28;19.10;974.1;0.0
20039;24.70;43.9;2106;0.12;-0.46;9.32;-8.55;0.02;-1.69;19.16;974.1;0.0
20060;24.80;43.9;0;0.14;-0.42;9.29;-3.57;0.02;0.09;19.22;974.2;0.0
20080;24.80;44.0;2088;0.13;-0.52;9.37;-11.89;0.60;-0.55;19.28;974.1;0.0
20101;24.90;44.0;0;0.17;-0.46;9.14;2.48;1.37;1.86;19.33;974.2;0.0
20121;24.90;44.3;2044;0.15;-0.43;9.36;12.21;-1.09;1.76;19.40;974.2;0.0
20141;25.00;44.2;0;0.14;-0.48;9.29;29.10;-0.61;5.66;19.44;974.1;0.0
