tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
2722;24.20;59.5;0;0.48;-0.16;9.21;-0.36;-3.91;-1.08;20.89;1014.4;0.1
2742;24.20;59.5;1550;0.17;-0.24;8.77;-0.90;-0.31;0.47;20.89;1014.4;0.1
2763;24.20;59.6;0;-0.06;-0.26;8.98;-1.19;2.31;1.80;20.90;1014.4;0.1
2783;24.20;59.6;1550;0.15;-0.29;8.94;-0.86;0.23;0.42;20.90;1014.5;0.1
2804;24.20;59.6;0;0.13;-0.25;9.07;-1.00;-0.06;0.63;20.91;1014.5;0.1
2824;24.20;59.6;1538;0.15;-0.26;9.08;-1.10;-0.23;0.36;20.91;1014.5;0.1
2845;24.10;59.7;0;0.17;-0.28;9.00;-0.99;0.19;0.39;20.92;1014.4;0.1
2865;24.10;59.7;1550;0.07;-0.53;9.26;-0.68;-2.20;-0.90;20.91;1014.5;0.1
2885;24.10;59.7;0;0.20;-0.46;9.16;-1.01;0.20;0.76;20.92;1014.5;0.1
2906;24.10;59.8;1544;0.16;-0.49;9.20;-0.97;-1.49;-0.11;20.93;1014.5;0.1
2926;24.10;59.8;0;-0.12;-1.14;10.23;2.87;2.93;-6.69;20.93;1014.5;0.1
2946;24.10;59.8;1556;0.16;-0.23;9.14;-0.81;0.00;0.11;20.93;1014.6;0.1
2967;24.00;59.9;0;0.15;-0.15;8.64;-0.84;0.94;-0.32;20.93;1014.6;0.1
2987;24.10;59.9;1556;0.61;0.07;9.25;0.64;-0.98;-3.44;20.93;1014.5;0.1
3008;24.00;60.0;0;0.18;-0.18;9.12;-0.96;-0.07;0.39;20.91;1014.5;0.1
3028;24.00;60.0;1569;0.12;-0.18;9.09;-0.90;0.00;0.45;20.91;1014.5;0.1
3049;24.00;60.0;0;0.17;-0.19;9.16;-0.94;-0.14;0.48;20.92;1014.5;0.1
3069;24.00;60.1;1563;0.11;-0.18;9.19;-0.93;0.09;0.29;20.92;1014.5;0.1
3090;24.00;60.1;0;0.18;-0.18;9.11;-0.84;0.03;0.37;20.92;1014.5;0.1
3110;24.00;60.1;1556;0.10;-0.06;9.11;-0.95;0.04;0.42;20.93;1014.6;0.1
3131;24.00;60.1;0;0.14;-0.14;9.18;-0.88;0.14;0.51;20.94;1014.5;0.1
3151;24.00;60.1;1556;0.10;-0.12;9.09;-0.77;0.04;0.45;20.92;1014.5;0.1
3172;24.00;60.2;0;0.19;-0.08;9.23;-1.13;0.10;0.54;20.93;1014.5;0.1
